"STAID","STANAME","CN","LAT","LON","HGHT","minyear","maxyear"
20484,"BENNEBROEK                                  ","NL","+52:19:00","+004:35:17",-999,1935,2025
20486,"BODEGRAVEN                                  ","NL","+52:04:41","+004:43:50",-999,1907,2025
20487,"BOORNBERGUM FR                              ","NL","+53:50:45","+006:27:32",0,1930,2025
20488,"BORNE                                       ","NL","+52:18:02","+006:46:03",-999,1867,2025
20489,"BOVENKARSPEL                                ","NL","+52:41:17","+005:13:50",-1,1873,2025
20490,"BREDA (II E18)                              ","NL","+51:35:26","+004:46:35",4,1866,2025
20491,"BREDA (III E18)                             ","NL","+51:35:26","+004:46:35",4,1866,2025
20492,"BRESKENS (OUD)                              ","NL","+51:23:44","+003:34:09",-999,1879,2025
20493,"BROEK OP LANGEDIJK                          ","NL","+52:40:27","+004:48:18",-1,1866,2025
20494,"BRUINISSE                                   ","NL","+51:39:33","+004:05:38",-999,1889,2025
20495,"BUINERVEEN                                  ","NL","+52:56:08","+006:52:51",7,1923,2025
20496,"BUREN (BETUWE)                              ","NL","+51:54:32","+005:20:07",-999,1888,2025
20497,"BUSSUM                                      ","NL","+52:15:46","+005:09:47",10,1905,2025
20498,"CADZAND                                     ","NL","+51:22:28","+003:22:58",4,1879,2025
20499,"COEVORDEN                                   ","NL","+52:39:29","+006:46:14",-999,1910,2025
20501,"CRAUBEEK                                    ","NL","+50:52:39","+005:54:09",100,1906,2025
20502,"DALMSHOLTE                                  ","NL","+52:28:41","+006:20:51",-999,1888,2025
20503,"DE WIJK DR                                  ","NL","+52:40:49","+006:17:12",-999,1887,2025
20504,"DEIL                                        ","NL","+51:53:15","+005:14:42",2,1897,2025
20505,"DELLE                                       ","NL","+52:24:06","+005:58:31",24,1866,2025
20506,"DEN HULST OV                                ","NL","+52:19:05","+006:56:44",-999,1867,2025
20507,"DEVENTER                                    ","NL","+52:15:47","+006:10:22",65,1949,2025
20508,"DOORN (KASTEEL)                             ","NL","+52:01:57","+005:20:21",-999,1920,2025
20509,"DORDRECHT                                   ","NL","+51:48:46","+004:40:41",-999,1926,2025
20510,"DREISCHOR                                   ","NL","+51:41:30","+003:59:15",-999,1889,2025
20511,"DRIEBERGEN                                  ","NL","+52:04:00","+005:16:59",-999,1920,2025
20512,"DUINDAG BIJ DEN HAAG                        ","NL","+52:07:05","+004:18:29",-999,1906,2025
20513,"EETHEN                                      ","NL","+51:43:53","+005:03:06",-999,1867,2025
20514,"ELST (UTRECHT)                              ","NL","+51:55:00","+005:52:00",-999,1866,2025
20515,"ENGELUM                                     ","NL","+53:13:32","+005:42:56",0,1875,2025
20516,"ENGWIERUM                                   ","NL","+53:19:19","+006:08:11",2,1892,2025
20517,"ENTER                                       ","NL","+52:17:17","+006:34:54",-999,1896,2025
20518,"EPE (WELNA)                                 ","NL","+52:21:25","+005:54:20",26,1866,2025
20519,"EPEN (OUD) L                                ","NL","+50:46:59","+005:54:00",-999,1950,2025
20520,"ERMELO                                      ","NL","+52:16:59","+005:37:59",-999,1949,2025
20521,"FRANEKER                                    ","NL","+53:11:08","+005:31:27",4,1878,2025
